customer_unique_id,order_id,order_purchase_timestamp,order_revenue,customer_order_sequence,running_revenue
u021,o0137,2017-10-11T14:00:00,89.2,5,965.25
u021,o0189,2018-01-15T21:00:00,503.51,6,1468.76
u021,o0219,2018-03-21T07:00:00,570.76,7,2039.52
u022,o0121,2017-09-05T16:00:00,311.43,1,311.43
u022,o0192,2018-01-13T16:00:00,207.94,2,519.37
u022,o0249,2018-05-22T04:00:00,332.2,3,851.57
u023,o0102,2017-07-06T21:00:00,273.66,1,273.66
u023,o0214,2018-03-06T03:00:00,214.39,2,488.05
u023,o0274,2018-07-10T16:00:00,392.52,3,880.57
u023,o0297,2018-08-25T17:00:00,263.24,4,1143.81
u024,o0147,2017-11-18T22:00:00,306.19,1,306.19
u024,o0184,2018-01-26T09:00:00,240.53,2,546.72
u025,o0034,2017-03-15T10:00:00,152.89,1,152.89
u026,o0145,2017-11-04T06:00:00,216.69,1,216.69
u026,o0286,2018-08-23T14:00:00,99.3,2,315.99
u027,o0199,2018-02-05T03:00:00,242.03,1,242.03
u027,o0263,2018-06-19T19:00:00,248.7,2,490.73
u028,o0206,2018-02-09T23:00:00,645.65,1,645.65
u028,o0261,2018-06-05T03:00:00,177.11,2,822.76
u029,o0010,2017-01-07T16:00:00,83.21,1,83.21
u029,o0203,2018-02-12T22:00:00,229.87,2,313.08
u029,o0273,2018-07-13T07:00:00,294.96,3,608.04
u030,o0101,2017-07-13T04:00:00,290.86,1,290.86
u030,o0200,2018-02-20T06:00:00,190.91,2,481.77
u030,o0238,2018-05-15T20:00:00,173.3,3,655.07
u031,o0032,2017-03-08T05:00:00,330.76,1,330.76
u031,o0052,2017-04-07T15:00:00,178.39,2,509.15
u031,o0201,2018-02-12T04:00:00,123.6,3,632.75
u032,o0042,2017-04-07T20:00:00,325.41,1,325.41
u032,o0065,2017-05-06T17:00:00,116.3,2,441.71
u032,o0181,2018-01-04T21:00:00,61.71,3,503.42
u032,o0251,2018-06-07T22:00:00,153.4,4,656.82
u033,o0036,2017-03-04T22:00:00,265.71,1,265.71
u033,o0089,2017-07-17T09:00:00,76.66,2,342.37
u033,o0136,2017-10-04T20:00:00,259.37,3,601.74
u034,o0103,2017-07-04T04:00:00,66.09,1,66.09
u034,o0168,2017-12-26T11:00:00,66.07,2,132.16
u034,o0280,2018-07-13T12:00:00,174.04,3,306.2
u035,o0033,2017-03-08T22:00:00,273.23,1,273.23
u035,o0072,2017-06-21T01:00:00,254.51,2,527.74
u036,o0045,2017-04-17T02:00:00,144.59,1,144.59
u036,o0124,2017-09-21T01:00:00,168.13,2,312.72
u036,o0178,2018-01-20T09:00:00,475.54,3,788.26
u036,o0262,2018-06-23T02:00:00,237.17,4,1025.43
u037,o0068,2017-05-25T09:00:00,110.33,1,110.33
u037,o0076,2017-06-17T22:00:00,220.28,2,330.61
u037,o0074,2017-06-24T12:00:00,67.06,3,397.67
u037,o0091,2017-07-10T19:00:00,237.85,4,635.52
u037,o0167,2017-12-18T19:00:00,117.56,5,753.08
u038,o0086,2017-06-14T11:00:00,225.31,1,225.31
u038,o0090,2017-07-03T21:00:00,293.76,2,519.07
u038,o0209,2018-02-07T06:00:00,201.24,3,720.31
u039,o0013,2017-02-23T16:00:00,217.04,1,217.04
u039,o0096,2017-07-23T13:00:00,138.55,2,355.59
u039,o0237,2018-05-04T22:00:00,180.44,3,536.03
u040,o0016,2017-02-15T21:00:00,174.12,1,174.12
u040,o0130,2017-09-20T12:00:00,257.21,2,431.33
u040,o0135,2017-10-18T06:00:00,397.74,3,829.07
u040,o0166,2017-12-18T00:00:00,325.05,4,1154.12
u040,o0277,2018-07-06T06:00:00,347.67,5,1501.79
u041,o0084,2017-06-23T22:00:00,45.78,1,45.78
u041,o0157,2017-11-23T02:00:00,97.39,2,143.17
u042,o0038,2017-03-15T22:00:00,241.28,1,241.28
u042,o0126,2017-09-22T15:00:00,170.86,2,412.14
u042,o0148,2017-11-06T02:00:00,224.41,3,636.55
u042,o0229,2018-04-15T08:00:00,314.35,4,950.9
u042,o0228,2018-04-22T22:00:00,328.1,5,1279.0
u044,o0012,2017-01-06T09:00:00,299.81,1,299.81
u044,o0057,2017-05-03T15:00:00,145.94,2,445.75
u044,o0079,2017-06-19T08:00:00,298.62,3,744.37
u044,o0108,2017-08-17T12:00:00,133.35,4,877.72
u044,o0170,2017-12-20T11:00:00,152.7,5,1030.42
u045,o0159,2017-11-19T09:00:00,323.9,1,323.9
u045,o0154,2017-11-25T02:00:00,306.93,2,630.83
u045,o0248,2018-05-05T14:00:00,118.51,3,749.34
u045,o0236,2018-05-12T10:00:00,138.87,4,888.21
u045,o0290,2018-08-21T16:00:00,134.08,5,1022.29
u046,o0233,2018-04-08T20:00:00,245.64,1,245.64
u046,o0292,2018-08-08T05:00:00,268.05,2,513.69
u047,o0150,2017-11-19T23:00:00,382.85,1,382.85
u047,o0240,2018-05-13T06:00:00,209.13,2,591.98
u047,o0265,2018-07-20T21:00:00,40.08,3,632.06
u048,o0095,2017-07-06T21:00:00,149.28,1,149.28
u048,o0099,2017-07-20T20:00:00,348.99,2,498.27
u048,o0164,2017-12-19T17:00:00,119.83,3,618.1
u048,o0215,2018-03-15T14:00:00,494.33,4,1112.43
u049,o0006,2017-01-11T14:00:00,159.25,1,159.25
u049,o0205,2018-02-24T19:00:00,491.41,2,650.66
u049,o0216,2018-03-15T17:00:00,99.56,3,750.22
u049,o0225,2018-04-08T04:00:00,65.57,4,815.79
u049,o0252,2018-06-17T02:00:00,499.62,5,1315.41
u050,o0011,2017-01-15T19:00:00,287.3,1,287.3
u050,o0046,2017-04-25T04:00:00,145.52,2,432.82
u050,o0097,2017-07-17T11:00:00,180.39,3,613.21
u050,o0143,2017-10-18T01:00:00,390.05,4,1003.26
u050,o0165,2017-12-22T13:00:00,576.92,5,1580.18
u050,o0188,2018-01-10T14:00:00,369.79,6,1949.97
u050,o0204,2018-02-10T08:00:00,285.86,7,2235.83
u050,o0239,2018-05-03T22:00:00,273.58,8,2509.41
u050,o0289,2018-08-07T13:00:00,488.2,9,2997.61
u051,o0026,2017-03-07T21:00:00,55.63,1,55.63
u051,o0152,2017-11-13T20:00:00,358.53,2,414.16
u051,o0287,2018-08-18T00:00:00,102.33,3,516.49
u052,o0039,2017-03-20T00:00:00,222.28,1,222.28
u052,o0105,2017-07-16T21:00:00,57.27,2,279.55
u052,o0285,2018-08-14T21:00:00,235.27,3,514.82
u053,o0175,2017-12-25T06:00:00,314.03,1,314.03
u053,o0245,2018-05-24T15:00:00,150.27,2,464.3
u054,o0114,2017-08-17T10:00:00,280.33,1,280.33
u054,o0138,2017-10-04T12:00:00,144.5,2,424.83
u055,o0069,2017-05-06T17:00:00,279.15,1,279.15
u055,o0060,2017-05-26T17:00:00,130.83,2,409.98
u055,o0187,2018-01-19T10:00:00,337.88,3,747.86
u055,o0257,2018-06-23T02:00:00,74.99,4,822.85
u056,o0031,2017-03-07T01:00:00,393.18,1,393.18
u056,o0085,2017-06-06T20:00:00,266.64,2,659.82
u056,o0071,2017-06-26T10:00:00,343.51,3,1003.33
u056,o0220,2018-03-10T02:00:00,174.78,4,1178.11
u057,o0070,2017-05-06T14:00:00,196.44,1,196.44
u057,o0127,2017-09-19T16:00:00,172.07,2,368.51
u057,o0247,2018-05-20T06:00:00,264.18,3,632.69
u058,o0003,2017-01-21T08:00:00,249.84,1,249.84
u058,o0104,2017-07-19T07:00:00,201.49,2,451.33
u058,o0196,2018-02-15T12:00:00,438.23,3,889.56
u058,o0221,2018-03-18T07:00:00,376.78,4,1266.34
u059,o0022,2017-02-12T13:00:00,243.82,1,243.82
u059,o0186,2018-01-23T08:00:00,284.45,2,528.27
u059,o0190,2018-01-26T19:00:00,282.08,3,810.35
u059,o0193,2018-02-07T16:00:00,195.22,4,1005.57
u059,o0253,2018-06-23T21:00:00,320.04,5,1325.61
u060,o0043,2017-04-24T16:00:00,236.75,1,236.75
u060,o0235,2018-04-24T18:00:00,184.87,2,421.62
u060,o0230,2018-04-25T06:00:00,80.53,3,502.15
u060,o0282,2018-08-11T03:00:00,589.17,4,1091.32
u061,o0019,2017-02-16T06:00:00,172.9,1,172.9
u061,o0051,2017-04-03T23:00:00,420.87,2,593.77
u061,o0078,2017-06-10T14:00:00,211.07,3,804.84
u061,o0171,2017-12-19T14:00:00,498.26,4,1303.1
u062,o0064,2017-05-06T02:00:00,240.36,1,240.36
u062,o0111,2017-08-10T03:00:00,276.34,2,516.7
u062,o0163,2017-12-17T06:00:00,158.82,3,675.52
u062,o0180,2018-01-09T06:00:00,242.76,4,918.28
u063,o0014,2017-02-03T03:00:00,185.17,1,185.17
u063,o0048,2017-04-10T08:00:00,255.86,2,441.03
u063,o0055,2017-05-06T13:00:00,255.6,3,696.63
u063,o0059,2017-05-17T00:00:00,126.03,4,822.66
u063,o0073,2017-06-05T15:00:00,69.01,5,891.67
u063,o0098,2017-07-22T13:00:00,156.5,6,1048.17
u063,o0153,2017-11-09T03:00:00,312.35,7,1360.52
u063,o0210,2018-02-17T05:00:00,261.12,8,1621.64
u063,o0244,2018-05-12T04:00:00,159.68,9,1781.32
u064,o0082,2017-06-04T04:00:00,304.98,1,304.98
u064,o0162,2017-12-23T17:00:00,319.92,2,624.9
u065,o0029,2017-03-18T08:00:00,382.24,1,382.24
u065,o0118,2017-09-20T21:00:00,46.08,2,428.32
u065,o0172,2017-12-19T17:00:00,285.44,3,713.76
u065,o0160,2017-12-23T05:00:00,250.39,4,964.15
u065,o0279,2018-07-07T20:00:00,72.57,5,1036.72
u066,o0018,2017-02-10T08:00:00,274.63,1,274.63
u066,o0040,2017-04-18T23:00:00,248.66,2,523.29
u066,o0116,2017-08-06T11:00:00,224.83,3,748.12
u066,o0131,2017-10-14T00:00:00,158.33,4,906.45
u066,o0250,2018-06-24T03:00:00,335.8,5,1242.25
u067,o0176,2018-01-09T17:00:00,174.77,1,174.77
u068,o0174,2017-12-23T23:00:00,349.17,1,349.17
u068,o0191,2018-01-17T16:00:00,92.62,2,441.79
u068,o0211,2018-03-04T02:00:00,181.62,3,623.41
u068,o0291,2018-08-14T18:00:00,195.21,4,818.62
u069,o0007,2017-01-26T07:00:00,243.04,1,243.04
u069,o0027,2017-03-09T16:00:00,605.66,2,848.7
u069,o0061,2017-05-25T05:00:00,278.0,3,1126.7
u069,o0080,2017-06-18T11:00:00,177.63,4,1304.33
u069,o0183,2018-01-26T23:00:00,183.08,5,1487.41
u069,o0207,2018-02-23T11:00:00,196.16,6,1683.57
u070,o0177,2018-01-14T21:00:00,278.54,1,278.54
u070,o0185,2018-01-19T15:00:00,177.24,2,455.78
u071,o0028,2017-03-12T21:00:00,203.17,1,203.17
u071,o0030,2017-03-25T13:00:00,317.12,2,520.29
u071,o0077,2017-06-16T02:00:00,490.36,3,1010.65
u072,o0058,2017-05-03T16:00:00,170.67,1,170.67
u073,o0123,2017-09-23T20:00:00,140.33,1,140.33
u073,o0151,2017-11-04T19:00:00,167.16,2,307.49
u073,o0217,2018-03-06T16:00:00,310.05,3,617.54
u073,o0246,2018-05-26T15:00:00,129.41,4,746.95
u073,o0254,2018-06-18T10:00:00,87.45,5,834.4
u073,o0275,2018-07-12T23:00:00,351.63,6,1186.03
u073,o0293,2018-08-21T04:00:00,198.55,7,1384.58
u074,o0081,2017-06-15T07:00:00,275.26,1,275.26
u074,o0119,2017-09-15T22:00:00,49.54,2,324.8
u074,o0179,2018-01-24T17:00:00,481.06,3,805.86
u074,o0243,2018-05-15T13:00:00,333.93,4,1139.79
u075,o0232,2018-04-15T17:00:00,471.93,1,471.93
u076,o0017,2017-02-20T07:00:00,226.51,1,226.51
u076,o0066,2017-05-16T09:00:00,86.68,2,313.19
u076,o0241,2018-05-06T11:00:00,295.64,3,608.83
u076,o0296,2018-08-06T10:00:00,263.02,4,871.85
u077,o0054,2017-04-06T18:00:00,230.36,1,230.36
u077,o0100,2017-07-03T01:00:00,271.73,2,502.09
u077,o0224,2018-04-22T10:00:00,150.11,3,652.2
u078,o0112,2017-08-24T22:00:00,287.4,1,287.4
u079,o0056,2017-05-20T15:00:00,440.31,1,440.31
u079,o0087,2017-06-15T19:00:00,89.98,2,530.29
u079,o0125,2017-09-22T16:00:00,311.67,3,841.96
u079,o0142,2017-10-14T07:00:00,89.45,4,931.41
u080,o0005,2017-01-14T18:00:00,109.49,1,109.49
u080,o0025,2017-02-05T13:00:00,315.28,2,424.77
u080,o0049,2017-04-20T00:00:00,61.57,3,486.34
u080,o0133,2017-10-07T19:00:00,286.36,4,772.7
